event_id,pass_id,event_type,start_time,end_time,duration,center_latitude,center_longitude,window_count,gps_valid,inside_route_area,gps_quality,map_match_latitude,map_match_longitude,road_segment_id,map_match_distance_m,map_match_status
evt_001,1,pothole,7.92,9.12,1.2,9.932202,76.268484,4,1,1,good,9.932202,76.268484,segment_015,54.23262969432219,matched
evt_002,1,speed_breaker,16.08,19.2,3.12,9.933766,76.269743,11,1,1,good,9.933766,76.269743,segment_016,38.92643248316679,matched
evt_003,1,pothole,23.52,24.0,0.48,9.934853,76.270567,1,1,1,good,9.934853,76.270567,segment_017,62.20775447357247,matched
evt_004,1,rough_road,23.76,31.2,7.44,9.935448,76.271078,30,1,1,good,9.935448,76.271078,segment_018,26.516781042414177,matched
evt_005,1,pothole,30.96,31.44,0.48,9.936116,76.271681,1,1,1,good,9.936116,76.271681,segment_019,27.402357375172524,matched
evt_006,2,pothole,68.92,69.88,0.96,9.932194,76.268499,3,1,1,good,9.932194,76.268499,segment_015,54.551157018545226,matched
evt_007,2,speed_breaker,77.08,80.2,3.12,9.933733,76.269757,10,1,1,good,9.933733,76.269757,segment_016,37.77128559566243,matched
evt_008,2,pothole,84.52,85.0,0.48,9.934687,76.270562,1,1,1,good,9.934687,76.270562,segment_017,48.25990183720784,matched
evt_009,2,rough_road,84.76,92.2,7.44,9.935455,76.27108,30,1,1,good,9.935455,76.27108,segment_018,27.03223230950662,matched
evt_010,3,pothole,129.92,131.12,1.2,9.932242,76.268469,4,1,1,good,9.932242,76.268469,segment_015,50.68422252933511,matched
evt_011,3,speed_breaker,138.8,140.48,1.68,9.933728,76.269745,6,1,1,good,9.933728,76.269745,segment_016,36.38679955674479,matched
evt_012,3,rough_road,145.76,153.44,7.68,9.935494,76.271115,29,1,1,good,9.935494,76.271115,segment_018,32.40632458203409,matched
evt_013,4,pothole,190.92,191.88,0.96,9.932339,76.268482,3,1,1,good,9.932339,76.268482,segment_015,40.30574948373683,matched
evt_014,4,speed_breaker,199.08,202.2,3.12,9.933739,76.269758,8,1,1,good,9.933739,76.269758,segment_016,38.260692143928736,matched
evt_015,4,rough_road,206.76,213.96,7.2,9.935465,76.271101,28,1,1,good,9.935465,76.271101,segment_018,29.586428328166075,matched
evt_016,4,pothole,213.72,214.2,0.48,9.935906,76.271698,1,1,1,good,9.935906,76.271698,segment_019,50.791962006026665,matched
